"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"Mediterranean Sea"	"oceanic"	"N"	8187.82612708402	17373.221026306	40843.8049241828	40680.0589058308	60360.1716432792	62979.1021137058
"2"	"Mediterranean Sea"	"oceanic"	"P"	676.846502766352	1310.49069441559	3732.42903576594	3561.44045610278	6107.60900778361	6911.52228029004
"3"	"Mediterranean Sea"	"oceanic"	"Fe"	5.52770004224107	10.4273363603905	36.549033600861	36.0377099619041	64.0085397718538	74.7043799875378
"4"	"Mediterranean Sea"	"oceanic"	"Cu"	2.48625979091388	4.20977878012581	11.4755294970211	10.6362553105619	22.7868631775295	27.2726213541928
"5"	"Mediterranean Sea"	"oceanic"	"Mn"	0.0976685616812095	0.406958481891723	1.30043027324252	1.25856191358349	2.41175739109867	2.58553232150406
"6"	"Mediterranean Sea"	"oceanic"	"Se"	0.255409549622002	0.557620387194255	1.26608191043279	1.24325942439968	2.13482724854925	2.39448822149872
"7"	"Mediterranean Sea"	"oceanic"	"Zn"	5.68897095408886	11.4467508162273	27.1784938423127	25.2278857329837	47.7379885767613	52.2844957906811
"8"	"Mediterranean Sea"	"oceanic"	"Co"	0.0079078360651427	0.0176655906141126	0.0463484382431512	0.0442326958807593	0.0802498622653876	0.0931361343902067
"9"	"Mediterranean Sea"	"oceanic"	"As"	2.28671330210678	4.19114782121175	9.48667264861424	9.49003334863902	15.3244599934412	17.8445581506504
"10"	"Mediterranean Sea"	"shelf"	"N"	3167.27241257046	6911.36488257467	13694.6563378839	12423.7860133776	26088.771908973	32228.8614052523
"11"	"Mediterranean Sea"	"shelf"	"P"	446.069720875762	680.20533427256	1336.21887436178	1235.66875501016	2564.19181560992	3147.13779764881
"12"	"Mediterranean Sea"	"shelf"	"Fe"	2.7719258519468	4.17329221212971	10.0621834553713	9.72282996716274	20.136528653862	28.7002997800524
"13"	"Mediterranean Sea"	"shelf"	"Cu"	0.533366526508684	1.00915752492528	2.72735090983621	2.43422658011999	5.94539891508234	7.33267618959815
"14"	"Mediterranean Sea"	"shelf"	"Mn"	0.0909712864163754	0.159595171323529	0.429141048811161	0.382804572514458	0.875877918140867	1.04178978271955
"15"	"Mediterranean Sea"	"shelf"	"Se"	0.0955642653018089	0.206817469519284	0.393662923379577	0.355899926717523	0.756563492154545	1.02080460357875
"16"	"Mediterranean Sea"	"shelf"	"Zn"	1.40122369605783	4.29581145068945	8.15957835528445	7.36512631929371	15.728726352443	19.0139674303416
"17"	"Mediterranean Sea"	"shelf"	"Co"	0.00390253115159787	0.00609630753176966	0.0128597272946719	0.0112930765575324	0.0275567174326151	0.034707522666457
"18"	"Mediterranean Sea"	"shelf"	"As"	1.14053282367584	1.3091828120942	3.11921248478587	2.9077410113969	6.25741421397686	9.84279348823399
