"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"West Indian ocean"	"oceanic"	"N"	15.038029543939	16.2338861111449	22.1501604422883	22.1271082560934	28.3678388237158	31.9848819999075
"2"	"West Indian ocean"	"oceanic"	"P"	1.11881496316995	1.34349767753635	1.84436765413358	1.84759493421057	2.43434455667126	2.66391520327346
"3"	"West Indian ocean"	"oceanic"	"Fe"	0.00786135085008801	0.00850587898835343	0.0157525743909086	0.0139333790654636	0.0318098860099387	0.0397614843657003
"4"	"West Indian ocean"	"oceanic"	"Cu"	0.0031160497690536	0.00353461079630246	0.0069627594700395	0.00631241654867215	0.0121513566796149	0.0140215266436042
"5"	"West Indian ocean"	"oceanic"	"Mn"	0.000299694191862449	0.000323443153005989	0.000534019628131401	0.000506888760705302	0.000826071485905381	0.000894629736582969
"6"	"West Indian ocean"	"oceanic"	"Se"	0.000327957389297752	0.000398892587520831	0.000651244609319208	0.000641219839518335	0.000964667990298068	0.00128161858142862
"7"	"West Indian ocean"	"oceanic"	"Zn"	0.00905056710399138	0.0102550361845755	0.0140012361546731	0.0139527638321381	0.0187584479572111	0.0199354166450488
"8"	"West Indian ocean"	"oceanic"	"Co"	1.12529326501126e-05	1.19714723133944e-05	2.34895099090468e-05	2.17086540435634e-05	4.08949975545039e-05	5.56551317971623e-05
"9"	"West Indian ocean"	"oceanic"	"As"	0.00226593203580271	0.00292808088857553	0.00503278535223462	0.0048211850626236	0.008415215159264	0.00992974134299382
"10"	"West Indian ocean"	"shelf"	"N"	8.44961129656441	10.3856496326846	14.4558286686647	14.2518559972428	22.5524680873381	23.662931691002
"11"	"West Indian ocean"	"shelf"	"P"	0.732415025545192	0.784269603579258	1.35161223786682	1.28368401974066	2.12410017763029	2.36200979795205
"12"	"West Indian ocean"	"shelf"	"Fe"	0.00450204155582574	0.00540119927631365	0.00988503788258696	0.00930666168507428	0.01842118750114	0.0234640955617886
"13"	"West Indian ocean"	"shelf"	"Cu"	0.000932986657693971	0.00103230225979913	0.00201508058344341	0.00183294746801251	0.0044210189355838	0.00552035736700277
"14"	"West Indian ocean"	"shelf"	"Mn"	0.000133844188719522	0.00019184658396054	0.000421444367591246	0.000379773269508727	0.000798237472584564	0.000927300011702836
"15"	"West Indian ocean"	"shelf"	"Se"	0.000218075220864051	0.000265294435951343	0.000398931895531286	0.000380597320568854	0.000624282452920766	0.000663479140326106
"16"	"West Indian ocean"	"shelf"	"Zn"	0.00392777830576916	0.00493192131361516	0.00780424618866766	0.00742173982796691	0.0129485073194423	0.0133160702012622
"17"	"West Indian ocean"	"shelf"	"Co"	5.07733341444211e-06	6.02442554363928e-06	1.19794087131383e-05	1.13169918506922e-05	2.14209646338782e-05	2.37441611266265e-05
"18"	"West Indian ocean"	"shelf"	"As"	0.0014792086108022	0.00164246625968051	0.00361714813701166	0.00291923515362333	0.00877277166302894	0.00984302409818823
