"Geo_area"	"Eco_gp"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"	"mean_total"	"ratio_contribution"
"1"	"Hawaii"	"Baleen whales"	"N"	114.803269470122	278.198508436934	1050.15856344925	841.54284321226	3120.82196235404	11814.305757924	31408.046910884	0.0334359715657881
"2"	"Hawaii"	"Baleen whales"	"P"	9.54812889528959	32.8101386010805	124.576045885559	97.8004435421357	376.468079735254	1587.31920111756	2965.80324292791	0.0420041505391892
"3"	"Hawaii"	"Baleen whales"	"Fe"	0.0066481847369614	0.0427522363954163	0.482813093170405	0.300511264832864	2.0715109046082	11.1114711862811	20.8735879167673	0.0231303355750629
"4"	"Hawaii"	"Baleen whales"	"Cu"	0.000391237038998034	0.00242939069864667	0.0273101707264308	0.0165923288934902	0.118003910657268	1.15661401325359	12.8071616586277	0.00213241399260648
"5"	"Hawaii"	"Baleen whales"	"Mn"	0.00017394400556987	0.00114293180884187	0.0208956837028171	0.0110987513565391	0.0988663262954719	0.715579089646905	0.644245232835603	0.0324343629379237
"6"	"Hawaii"	"Baleen whales"	"Se"	0.000231506813725598	0.00142614492849598	0.018249377827427	0.0104115104502601	0.0850085564130059	0.609967532752702	0.841777882017218	0.0216795644282011
"7"	"Hawaii"	"Baleen whales"	"Zn"	0.00587318161035106	0.0308627783471907	0.368737982733539	0.221740245099925	1.63944982310111	11.4975044168288	19.4111039215983	0.0189962396895548
"8"	"Hawaii"	"Baleen whales"	"Co"	0.00000622652204175428	0.0000390943654735693	0.000521036792046782	0.000299571091377053	0.00229588132534831	0.0117924955963917	0.0359178694089175	0.0145063390624562
"9"	"Hawaii"	"Baleen whales"	"As"	0.00103788414462393	0.00566884185868279	0.0643189370962684	0.0390912600097179	0.282860136444185	1.17317777386487	6.44555183915193	0.00997880999196667
"10"	"Hawaii"	"Deep divers"	"N"	7333.1125777947	12212.1258866536	21984.406848873	20604.7853130035	39318.0815771397	108867.33301679	31408.046910884	0.699960965775769
"11"	"Hawaii"	"Deep divers"	"P"	618.955341271572	1071.4521525026	1937.67713770114	1819.55937562678	3442.6997444602	8867.89025864795	2965.80324292791	0.653339746094627
"12"	"Hawaii"	"Deep divers"	"Fe"	1.98923159400836	3.88192073642888	13.5754592572375	10.5958399607728	39.4095184653262	95.8658672236631	20.8735879167673	0.650365395320114
"13"	"Hawaii"	"Deep divers"	"Cu"	1.89392320777854	3.94660833850011	10.1138955289654	9.05514518845193	22.2331103641506	59.4160733862762	12.8071616586277	0.789706243939859
"14"	"Hawaii"	"Deep divers"	"Mn"	0.112361445441199	0.181889167547171	0.382633965184184	0.34799794345478	0.78834836177874	1.79130219326854	0.644245232835603	0.593925955028096
"15"	"Hawaii"	"Deep divers"	"Se"	0.158258300092234	0.287523603767486	0.585161081609893	0.537796487374955	1.14597971518835	2.41617449804568	0.841777882017218	0.695149034098669
"16"	"Hawaii"	"Deep divers"	"Zn"	4.76219953998409	7.37416812377964	13.7886228145371	12.9246729011414	24.9543159053227	68.2332192057389	19.4111039215983	0.710347173979879
"17"	"Hawaii"	"Deep divers"	"Co"	0.00348098439230802	0.00718039179801691	0.0227750982676916	0.0183309845677039	0.0610258201102823	0.173485995017558	0.0359178694089175	0.634088230802386
"18"	"Hawaii"	"Deep divers"	"As"	1.17135412225593	2.01237270138367	4.60990203026552	4.19452560921704	9.41035533696173	21.7127537026887	6.44555183915193	0.71520672632928
"19"	"Hawaii"	"Small delphinids"	"N"	2536.27542161377	4417.56200642263	8373.48149856171	7950.52408844655	14729.1188765924	33186.6697060502	31408.046910884	0.266603062658443
"20"	"Hawaii"	"Small delphinids"	"P"	256.872407041781	473.352342736669	903.550059341211	857.377253894722	1604.00549562184	3565.91648386009	2965.80324292791	0.304656103366184
"21"	"Hawaii"	"Small delphinids"	"Fe"	1.44980939908909	2.86602065396155	6.81531556635935	6.20155297322507	13.9240413007487	33.5861774791618	20.8735879167673	0.326504269104823
"22"	"Hawaii"	"Small delphinids"	"Cu"	0.542968665796281	1.14788646410926	2.6659559589358	2.45272975242634	5.46990634826626	11.0507445172522	12.8071616586277	0.208161342067534
"23"	"Hawaii"	"Small delphinids"	"Mn"	0.0515856729929278	0.101301728539042	0.240715583948602	0.222206927660008	0.478969286395581	1.0178541914353	0.644245232835603	0.37363968203398
"24"	"Hawaii"	"Small delphinids"	"Se"	0.0713216063764562	0.114365270859058	0.238367422579899	0.223818954698813	0.448203520440133	1.03835380430808	0.841777882017218	0.28317140147313
"25"	"Hawaii"	"Small delphinids"	"Zn"	1.35670364349436	2.65118145804792	5.25374312432767	4.95660402705631	9.52503817000912	22.4092088111666	19.4111039215983	0.270656586330566
"26"	"Hawaii"	"Small delphinids"	"Co"	0.00223521084346151	0.00492127431860193	0.0126217343491791	0.0114712022360646	0.0268203339834869	0.0570094899472018	0.0359178694089175	0.351405430135158
"27"	"Hawaii"	"Small delphinids"	"As"	0.351220750791583	0.73034676562068	1.77133087179014	1.59099679696499	3.78611317059105	7.92873746681673	6.44555183915193	0.274814463678754
