"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"French Antilles"	"oceanic"	"N"	-84.8259723539794	128.317248615547	361.690429003893	329.499709003242	774.676245381599	1945.21600994704
"2"	"French Antilles"	"oceanic"	"P"	-5.53184917197456	10.3258212170871	29.8093197630004	26.8262620979442	66.2004232750739	182.503901755323
"3"	"French Antilles"	"oceanic"	"Fe"	-0.0592687899441643	0.0659902861593042	0.247537958165245	0.20784667349659	0.675781926809125	2.25440773760972
"4"	"French Antilles"	"oceanic"	"Cu"	-0.0980660225796497	0.033852810281565	0.125694363550191	0.105596488487328	0.336100263748931	1.04646096341315
"5"	"French Antilles"	"oceanic"	"Mn"	-0.00277336323867625	0.00268623950702732	0.00875457783844625	0.00766391833478185	0.0212942180071483	0.0518220233001686
"6"	"French Antilles"	"oceanic"	"Se"	-0.0039532943301929	0.00350259110220361	0.0104683136445204	0.00945073489261758	0.0232347799190666	0.0707106364421833
"7"	"French Antilles"	"oceanic"	"Zn"	-0.118832172013754	0.0815617484381215	0.225694485830803	0.205957134668056	0.487827434296609	1.44462096899926
"8"	"French Antilles"	"oceanic"	"Co"	-0.000329391259628996	9.37863454392899e-05	0.000358206063971834	0.000296748501811282	0.000986689240565571	0.00332724988591091
"9"	"French Antilles"	"oceanic"	"As"	-0.0238040463019895	0.0267512353195505	0.0924459405796079	0.0798969778843757	0.23499315195944	0.669409926459309
"10"	"French Antilles"	"shelf"	"N"	-588.407127143669	685.424557227049	1819.97505199877	1656.46428100025	3959.9830602361	9223.74303870152
"11"	"French Antilles"	"shelf"	"P"	-39.3636592730335	56.3831833737493	146.883924132679	133.630507342178	317.705080425142	811.552932676916
"12"	"French Antilles"	"shelf"	"Fe"	-0.0567054478808338	0.340810333210757	1.26904596611295	1.02662215998581	3.54445620616824	10.4877078656705
"13"	"French Antilles"	"shelf"	"Cu"	-0.61587655144084	0.205392421777609	0.755319833042781	0.642022190619781	1.98628478013825	8.69962905460891
"14"	"French Antilles"	"shelf"	"Mn"	-0.00460281020732535	0.0142563284718895	0.0406693879277025	0.0362915844501694	0.0930370636185081	0.225484412907643
"15"	"French Antilles"	"shelf"	"Se"	-0.0196423274066264	0.0194593462103974	0.05381917015432	0.0480247899011972	0.12018321743269	0.291879347170971
"16"	"French Antilles"	"shelf"	"Zn"	-0.314036222169661	0.452405630573133	1.21096948567688	1.10472486517795	2.63354262848217	6.40485922766246
"17"	"French Antilles"	"shelf"	"Co"	-0.000778168409902949	0.000479336905329827	0.00178397210993397	0.00142046600124258	0.00504989238531819	0.0167007890927392
"18"	"French Antilles"	"shelf"	"As"	-0.176408478844425	0.138575347424603	0.425505819242138	0.37394989382536	1.01295364821404	2.86178268586208
