"Geo_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"	"min_all_mean"	"max_all_mean"	"fold"
"1"	"Northeast Atlantic"	"N"	59.3122647231244	83.2188658608918	125.695207341133	121.416019688187	191.740798737413	367.2771623486	2.08905520905435	141.749736425048	60
"2"	"Northeast Atlantic"	"P"	5.95192997483447	8.82476518221215	13.4904523104818	13.0917183308689	20.3376384860738	38.2817796975789	0.200415218698847	14.2099848754501	67
"3"	"Northeast Atlantic"	"Fe"	0.0161207839514774	0.0462596120110622	0.0901317824352426	0.0868551194469169	0.154458131467771	0.260463989199708	0.00134979895503479	0.0955071800675543	67
"4"	"Northeast Atlantic"	"Cu"	0.00560979423419172	0.0130819092748609	0.0264862343792806	0.025065149285368	0.0474557769603819	0.0984321486247568	0.000777064230816464	0.039892113198027	34
"5"	"Northeast Atlantic"	"Mn"	0.000381301306534043	0.0015247140097421	0.00315863309393522	0.0029553851964819	0.00583320880652446	0.0103880790844383	4.57341643504975e-05	0.00315863309393522	69
"6"	"Northeast Atlantic"	"Se"	0.000768574175795283	0.00184476282063068	0.00351528792487003	0.00334941072609771	0.00611610013933725	0.0113575775619471	5.68581924032644e-05	0.00397626163804114	62
"7"	"Northeast Atlantic"	"Zn"	0.00925467052210485	0.0402780595716881	0.0718287213561971	0.0691519077787258	0.11785607159511	0.283881732334915	0.00126640293522519	0.0835850599263856	57
"8"	"Northeast Atlantic"	"Co"	3.36622289915553e-05	6.09263126128279e-05	0.000120780925000047	0.00011540817639903	0.000211458969785969	0.000418899730989008	2.58074312519618e-06	0.000151953139781309	47
"9"	"Central North Atlantic"	"N"	70.2396162011583	90.4819055914876	141.749736425048	137.467953204799	215.782156656931	559.851957894321	2.08905520905435	141.749736425048	68
"10"	"Central North Atlantic"	"P"	5.96135803042608	9.07506133645795	14.2099848754501	13.8056129232095	21.5846462227418	51.6474870823742	0.200415218698847	14.2099848754501	71
"11"	"Central North Atlantic"	"Fe"	0.0211587121906582	0.0455614802801164	0.0955071800675543	0.0903327738301526	0.175317067158524	0.29451072308801	0.00134979895503479	0.0955071800675543	71
"12"	"Central North Atlantic"	"Cu"	0.00735516495547707	0.0196679164351845	0.039892113198027	0.0378599283598697	0.0719006575966166	0.17115018824189	0.000777064230816464	0.039892113198027	51
"13"	"Central North Atlantic"	"Mn"	0.000431673616169311	0.00152785847288879	0.00308765591437513	0.00293782874685699	0.00548058587512116	0.010246664229606	4.57341643504975e-05	0.00315863309393522	68
"14"	"Central North Atlantic"	"Se"	0.000690129757701938	0.00206907783179405	0.00397626163804114	0.0038245979258464	0.0067506630650806	0.0122763655235078	5.68581924032644e-05	0.00397626163804114	70
"15"	"Central North Atlantic"	"Zn"	0.0155453512978679	0.0466125784939312	0.0835850599263856	0.0809027990232944	0.136701039638616	0.414242530887047	0.00126640293522519	0.0835850599263856	66
"16"	"Central North Atlantic"	"Co"	3.50733113007994e-05	7.29746117011798e-05	0.000151953139781309	0.000143654987440669	0.000274868302299128	0.000581076301281928	2.58074312519618e-06	0.000151953139781309	59
"17"	"Gulf of Alaska"	"N"	21.0846808050678	49.0411219473303	107.696202536828	99.4994435138403	211.955501961301	473.81509584842	2.08905520905435	141.749736425048	52
"18"	"Gulf of Alaska"	"P"	2.53485528270372	5.05875449866199	11.1539033634291	10.2736107519553	22.5351877482929	60.9289144478758	0.200415218698847	14.2099848754501	56
"19"	"Gulf of Alaska"	"Fe"	-0.0162780655952735	0.0235087618273272	0.0759321640041795	0.0688952980602913	0.167046905671904	0.539384849862947	0.00134979895503479	0.0955071800675543	56
"20"	"Gulf of Alaska"	"Cu"	-0.00674264018481805	0.00491771629221897	0.0196129215117464	0.017743093003924	0.0445601829802995	0.131325384014944	0.000777064230816464	0.039892113198027	25
"21"	"Gulf of Alaska"	"Mn"	-0.000858083193047779	0.000696156363875883	0.00235137567070316	0.00209150884715326	0.00555914013736023	0.0120133837700739	4.57341643504975e-05	0.00315863309393522	51
"22"	"Gulf of Alaska"	"Se"	-0.000654523226056413	0.000884540068249051	0.00306183111342982	0.00279213925464953	0.00689420534526112	0.0165158388872621	5.68581924032644e-05	0.00397626163804114	54
"23"	"Gulf of Alaska"	"Zn"	-0.0250748041697357	0.0178210630945279	0.0591794343350538	0.0539108479041669	0.131278983480958	0.279775502250262	0.00126640293522519	0.0835850599263856	47
"24"	"Gulf of Alaska"	"Co"	-2.07321867260249e-05	2.61183306722168e-05	9.29669658102306e-05	8.49602773469126e-05	0.000208101864704435	0.000542037508450427	2.58074312519618e-06	0.000151953139781309	36
"25"	"Northwest Atlantic"	"N"	35.8922730138758	50.6276762423656	73.4667172286411	71.598177851142	107.284847160625	179.856616700144	2.08905520905435	141.749736425048	35
"26"	"Northwest Atlantic"	"P"	4.0158820203557	5.33531684891791	8.09866461310274	7.86860047507758	12.2177851909667	23.2440386395615	0.200415218698847	14.2099848754501	40
"27"	"Northwest Atlantic"	"Fe"	0.0180660410479638	0.0284385923536429	0.0533326357566755	0.0510593796854067	0.0915437568201707	0.204913857705345	0.00134979895503479	0.0955071800675543	40
"28"	"Northwest Atlantic"	"Cu"	0.00552494497824816	0.00908951365067286	0.0170061223782566	0.0161565356004705	0.0293235412229758	0.0613697335968127	0.000777064230816464	0.039892113198027	22
"29"	"Northwest Atlantic"	"Mn"	0.000605383851781658	0.00100308683528335	0.00198676531726846	0.00184761751025012	0.00378636274531978	0.00828802891877975	4.57341643504975e-05	0.00315863309393522	43
"30"	"Northwest Atlantic"	"Se"	0.000699658002637353	0.00119392345188055	0.00203793749324061	0.00194388623290724	0.00347520841664012	0.00798272630832234	5.68581924032644e-05	0.00397626163804114	36
"31"	"Northwest Atlantic"	"Zn"	0.014937124688886	0.0267498929400732	0.0430307807664258	0.0415329542882808	0.0680475571272428	0.161347697872866	0.00126640293522519	0.0835850599263856	34
"32"	"Northwest Atlantic"	"Co"	2.71065126318236e-05	4.21255354983797e-05	7.89148763670287e-05	7.50462764398874e-05	0.000137297431390901	0.000216961406092994	2.58074312519618e-06	0.000151953139781309	31
