"Geo_area"	"Eco_gp"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"	"mean_total"	"ratio_contribution"
"1"	"Wallis & Futuna"	"Deep divers"	"N"	207.848889397959	358.850720292362	769.086842663506	699.632331617899	1597.47808634735	4023.16798480723	1729.21088585591	0.444761740140693
"2"	"Wallis & Futuna"	"Deep divers"	"P"	19.2715901306963	32.4431593064113	70.1578052761435	63.5851326344219	144.925185812211	424.226400298398	177.558961922251	0.39512398876754
"3"	"Wallis & Futuna"	"Deep divers"	"Fe"	0.0557705643547704	0.153123690625803	0.50407107622579	0.412752646443862	1.37910686141791	4.26669243805844	1.20072823885977	0.419804465250574
"4"	"Wallis & Futuna"	"Deep divers"	"Cu"	0.0699356870649483	0.12973454775925	0.35472538896028	0.315704452415504	0.819192302522097	2.88864546681891	0.50669082866735	0.700082513617317
"5"	"Wallis & Futuna"	"Deep divers"	"Mn"	0.00352237649947212	0.00626866022113147	0.0148237601918147	0.0132723066537011	0.0330835042020419	0.117128751837464	0.041338775508724	0.358592145253222
"6"	"Wallis & Futuna"	"Deep divers"	"Se"	0.00437778023345964	0.00903293564977807	0.0207891096014566	0.0187397330783397	0.0448864017008618	0.146484696602258	0.0466181347192172	0.4459446892646
"7"	"Wallis & Futuna"	"Deep divers"	"Zn"	0.116708129895871	0.226226667822598	0.49333332305182	0.449235963280431	1.02405373463263	2.36058271212218	1.02009827765129	0.483613524167191
"8"	"Wallis & Futuna"	"Deep divers"	"Co"	0.000161868588726026	0.000300653305948723	0.000992430542901574	0.000843739015301909	0.00253247416587684	0.0130469090050443	0.0017796976751743	0.557639961407703
"9"	"Wallis & Futuna"	"Deep divers"	"As"	0.0316341256399993	0.066617191407949	0.168022735477239	0.150939102222762	0.371993627867096	0.908926665482827	0.340463047559282	0.493512399309599
"10"	"Wallis & Futuna"	"Small delphinids"	"N"	199.100006000352	468.356098380516	960.124043192408	911.734937796375	1716.39409517161	5753.67402880421	1729.21088585591	0.555238259859307
"11"	"Wallis & Futuna"	"Small delphinids"	"P"	24.4634640496977	51.2892428240051	107.401156646107	101.727793923185	194.887219428583	658.449800800692	177.558961922251	0.604876011232459
"12"	"Wallis & Futuna"	"Small delphinids"	"Fe"	0.134481811904286	0.282436423725825	0.696657162633983	0.641785541200077	1.42542322436379	3.37790328096395	1.20072823885977	0.580195534749426
"13"	"Wallis & Futuna"	"Small delphinids"	"Cu"	0.0239096406234972	0.0549680720384814	0.15196543970707	0.136094295284798	0.343871903929976	0.916147416376035	0.50669082866735	0.299917486382683
"14"	"Wallis & Futuna"	"Small delphinids"	"Mn"	0.00411404545303157	0.00905385600983505	0.0265150153169093	0.0235322444803954	0.0602932354575723	0.159133333948329	0.041338775508724	0.641407854746778
"15"	"Wallis & Futuna"	"Small delphinids"	"Se"	0.00575158916046446	0.0108287428324309	0.0258290251177606	0.02370867753689	0.0526125985417472	0.130066133508262	0.0466181347192172	0.5540553107354
"16"	"Wallis & Futuna"	"Small delphinids"	"Zn"	0.0986057234089137	0.236313495973512	0.526764954599466	0.49070120570652	1.01110950192732	2.77675753061405	1.02009827765129	0.516386475832809
"17"	"Wallis & Futuna"	"Small delphinids"	"Co"	0.000142298327092158	0.000294975489214996	0.000787267132272724	0.000714956795172553	0.00168084393573674	0.00474238962946204	0.0017796976751743	0.442360038592297
"18"	"Wallis & Futuna"	"Small delphinids"	"As"	0.029005703876953	0.0658243682086598	0.172440312082042	0.153027988999024	0.393840144260092	1.07639681270888	0.340463047559282	0.506487600690401
