"Geo_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"Northeast Atlantic"	"N"	171066.316359844	189163.199915167	262131.734294549	253043.19930942	373109.063385912	389320.336067222
"2"	"Northeast Atlantic"	"P"	13086.0667279525	16978.0811096419	24008.5107571261	23242.280258653	35020.5986671054	40362.6294085917
"3"	"Northeast Atlantic"	"Fe"	111.199534524199	113.444155781425	229.277550296248	210.789326429697	414.861399471281	434.078660573837
"4"	"Northeast Atlantic"	"Cu"	20.7582547401086	24.830472810274	61.9629748349859	56.6787438986546	120.803684156995	144.394443711774
"5"	"Northeast Atlantic"	"Mn"	3.66291356498234	4.16272978025945	7.91797363067216	7.52673912105533	14.2475599099054	14.5194951322163
"6"	"Northeast Atlantic"	"Se"	4.44920210340187	4.89381972038997	8.73474852890462	8.27754689398903	14.4286013077699	16.2600576484187
"7"	"Northeast Atlantic"	"Zn"	96.5081670112451	104.092405576015	166.78806418298	160.99185400712	244.814236253601	286.28016655546
"8"	"Northeast Atlantic"	"Co"	0.159959617248576	0.170545776981198	0.287432523369029	0.266473954516282	0.569861735530742	0.655562934525361
"9"	"Northeast Atlantic"	"As"	22.1079652029718	28.5557844282112	71.3409593269302	62.4055726113439	146.568903681087	165.623746634854
"10"	"Central North Atlantic"	"N"	249092.913918247	294690.431421089	416177.814771801	398386.581143922	563148.678647967	602146.527718328
"11"	"Central North Atlantic"	"P"	19896.4719751834	24607.7308609206	35146.0780873651	34346.2580910489	50342.2083217874	53845.3228297976
"12"	"Central North Atlantic"	"Fe"	158.728121472417	183.86888379816	344.790081427832	321.961135982683	611.227712081585	755.569372648691
"13"	"Central North Atlantic"	"Cu"	39.6806187598174	53.1154216368939	130.705919117571	122.604578508387	240.475089097529	251.045793297586
"14"	"Central North Atlantic"	"Mn"	4.24847970906627	5.33210786957863	11.0591038798763	10.5913554861058	20.2142572956948	22.864544601769
"15"	"Central North Atlantic"	"Se"	6.55921857797009	7.57130025440929	13.6791467722437	13.4791769221721	20.8319260047857	23.4295498566933
"16"	"Central North Atlantic"	"Zn"	146.488774409675	163.79447539292	273.031686726937	268.695858645431	404.154333769038	424.763150979981
"17"	"Central North Atlantic"	"Co"	0.208109967283724	0.263219576791221	0.493872821324498	0.463373542766487	0.876416036963965	0.977818928596294
"18"	"Central North Atlantic"	"As"	39.0701067526278	45.0986511329246	120.135446501372	106.981544695527	236.61634678675	270.833748108167
"19"	"Gulf of Alaska"	"N"	6419.5458872024	10196.7331340931	18638.8374385145	17099.8872033224	32212.5642446981	42798.0871677287
"20"	"Gulf of Alaska"	"P"	664.323701037112	753.397028787902	1602.34279621318	1463.78205546253	3420.94930513052	3832.60729030763
"21"	"Gulf of Alaska"	"Fe"	3.25442363542566	4.43792441725652	17.1993277247385	14.8928343179833	41.564600304053	52.4546626056829
"22"	"Gulf of Alaska"	"Cu"	0.485981713210379	0.748550919516517	4.45557662402197	3.79853231931132	10.1313989392718	10.6547942700803
"23"	"Gulf of Alaska"	"Mn"	0.137348685389926	0.184547532603229	0.495443970907489	0.449905765938283	0.963500910337625	1.10344451097432
"24"	"Gulf of Alaska"	"Se"	0.2637189391966	0.287980861707212	0.646953628112833	0.597468426264818	1.26986818109366	1.8613066539437
"25"	"Gulf of Alaska"	"Zn"	3.59974154156388	4.70664522290162	11.6086813836907	10.5843699613853	22.2855171362356	32.7214825646079
"26"	"Gulf of Alaska"	"Co"	0.00333156252817305	0.00540445112465161	0.019334370181588	0.0168624225142047	0.0466733264934073	0.0538797883858988
"27"	"Gulf of Alaska"	"As"	0.666298307634504	0.931091057626559	5.93862742554248	4.9396897903242	14.589891563481	19.6500162394357
"28"	"Northwest Atlantic"	"N"	22611.4975973742	24965.4198023855	35385.648647728	35230.2504347192	48141.7081442673	50077.5265581536
"29"	"Northwest Atlantic"	"P"	1925.05647213106	2300.10244782741	3337.65973563936	3220.4117512848	4930.63698077891	5311.95280136207
"30"	"Northwest Atlantic"	"Fe"	14.9933301261215	15.4770090709748	30.116035526849	28.6885563111389	47.3400337349814	71.6429443293252
"31"	"Northwest Atlantic"	"Cu"	3.45054396837213	4.40592376265768	8.53734812196011	7.9739455848947	15.102193945137	19.9803134812415
"32"	"Northwest Atlantic"	"Mn"	0.576695122796528	0.638195398109439	1.13395460309487	1.02109068938244	2.10248896994441	2.82139765888606
"33"	"Northwest Atlantic"	"Se"	0.651932745446073	0.705919853763796	1.14648678703763	1.05560049832328	1.8165381438673	2.0823488755862
"34"	"Northwest Atlantic"	"Zn"	12.6603392101612	15.9063316919653	22.9021274830804	21.8477736265592	32.784648055007	43.7635080103
"35"	"Northwest Atlantic"	"Co"	0.0216218495430742	0.0240985121056734	0.0422814875502788	0.041053810665736	0.0702890471638755	0.0744388225044361
"36"	"Northwest Atlantic"	"As"	3.30150749437538	4.84256872049107	8.87237984413986	8.60550497680372	14.2179809140204	15.188141485891
"37"	"California current"	"N"	30373.9151763905	33094.0018341585	50645.8781661658	50339.0165964864	72020.8850482724	76090.1619887492
"38"	"California current"	"P"	2600.08402233937	3190.23299148538	4974.6700768229	4740.121688036	7314.80618176885	8730.80070624053
"39"	"California current"	"Fe"	23.1931816975907	26.1888867504281	47.4728427100043	46.0401803993753	76.4160645792461	83.3220378130435
"40"	"California current"	"Cu"	2.82481322602792	3.83162955866321	9.38649141005996	8.85523590831916	16.9728324950166	18.8204981351237
"41"	"California current"	"Mn"	0.661939085480305	0.859189781783286	1.77618509753555	1.55272469817814	3.2146722261609	4.29293299090442
