"Geo_area"	"Eco_gp"	"Element"	"mean"	"mean_total"	"ratio_contribution"
"1"	"California current"	"Baleen whales"	"N"	19055.2615302597	50967.2369875532	0.373872759375072
"2"	"California current"	"Baleen whales"	"P"	1653.13713701454	5000.50338130129	0.330594144420785
"3"	"California current"	"Baleen whales"	"Fe"	14.9388089328261	45.0828409873913	0.331363521145533
"4"	"California current"	"Baleen whales"	"Cu"	4.00414941850893	9.04075753650961	0.442899768336761
"5"	"California current"	"Baleen whales"	"Mn"	0.443737303695324	1.66503611364129	0.266503110689238
"6"	"California current"	"Baleen whales"	"Se"	0.61400316418256	1.64147069605164	0.374056731965713
"7"	"California current"	"Baleen whales"	"Zn"	11.6522635163601	32.7874613864997	0.355387792272258
"8"	"California current"	"Baleen whales"	"Co"	0.0184153434633721	0.0546720972080102	0.336832578295059
"9"	"California current"	"Baleen whales"	"As"	4.82663218066773	10.099450608366	0.477910370359111
"10"	"California current"	"Deep divers"	"N"	4261.68661289126	50967.2369875532	0.0836161986558545
"11"	"California current"	"Deep divers"	"P"	335.603052433652	5000.50338130129	0.0671138537149269
"12"	"California current"	"Deep divers"	"Fe"	3.10099375439906	45.0828409873913	0.068784346471562
"13"	"California current"	"Deep divers"	"Cu"	1.98274343797427	9.04075753650961	0.219311648384252
"14"	"California current"	"Deep divers"	"Mn"	0.103209514639354	1.66503611364129	0.0619863520038875
"15"	"California current"	"Deep divers"	"Se"	0.125971712040526	1.64147069605164	0.0767431988542565
"16"	"California current"	"Deep divers"	"Zn"	2.91405561372978	32.7874613864997	0.0888771344441337
"17"	"California current"	"Deep divers"	"Co"	0.0060423057678912	0.0546720972080102	0.110519004692689
"18"	"California current"	"Deep divers"	"As"	1.11352100258176	10.099450608366	0.110255601592761
"19"	"California current"	"Small delphinids"	"N"	27650.2888444022	50967.2369875532	0.542511041969074
"20"	"California current"	"Small delphinids"	"P"	3011.76319185309	5000.50338130129	0.602292001864288
"21"	"California current"	"Small delphinids"	"Fe"	27.0430383001661	45.0828409873913	0.599852132382905
"22"	"California current"	"Small delphinids"	"Cu"	3.0538646800264	9.04075753650961	0.337788583278987
"23"	"California current"	"Small delphinids"	"Mn"	1.11808929530661	1.66503611364129	0.671510537306874
"24"	"California current"	"Small delphinids"	"Se"	0.901495819828552	1.64147069605164	0.549200069180031
"25"	"California current"	"Small delphinids"	"Zn"	18.2211422564099	32.7874613864997	0.555735073283608
"26"	"California current"	"Small delphinids"	"Co"	0.0302144479767468	0.0546720972080102	0.552648417012253
"27"	"California current"	"Small delphinids"	"As"	4.15929742511649	10.099450608366	0.411834028048129
