"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"French Guyana"	"oceanic"	"N"	55.2279893128258	69.0951386835463	139.470249348577	124.492716130646	307.305594363218	461.794856498011
"2"	"French Guyana"	"oceanic"	"P"	3.9836270583971	5.31032322560614	11.393136133705	10.5954548028047	25.7507312833727	32.5446949774427
"3"	"French Guyana"	"oceanic"	"Fe"	0.0297347464170512	0.0342804267583068	0.105911468372271	0.0836789607552152	0.263346580924619	0.538151956316601
"4"	"French Guyana"	"oceanic"	"Cu"	0.0132007708249267	0.0159484887794396	0.0471624530393371	0.0405379687120129	0.117206903152068	0.189239972441531
"5"	"French Guyana"	"oceanic"	"Mn"	0.00126062526993253	0.00143853238127198	0.00351813584153998	0.00291050954072497	0.00706774310920873	0.0170510875469975
"6"	"French Guyana"	"oceanic"	"Se"	0.00139398192946866	0.0018399694368809	0.00401779801443517	0.00353962431100646	0.00871050834943705	0.0119278762327537
"7"	"French Guyana"	"oceanic"	"Zn"	0.0343734501677891	0.0404134949461754	0.0882768113368942	0.081859720620006	0.175905636113811	0.257338324970465
"8"	"French Guyana"	"oceanic"	"Co"	5.51984547327525e-05	6.10203543766806e-05	0.000165780190099754	0.000132662737373946	0.000491902670821192	0.000690005297597513
"9"	"French Guyana"	"oceanic"	"As"	0.0121540299112808	0.013528818209917	0.0343799621877776	0.0284200493375581	0.0840875314407502	0.127786447425219
"10"	"French Guyana"	"shelf"	"N"	428.401987312117	497.293331732733	930.540560729696	895.623737000083	1630.39065927015	1795.73860342917
"11"	"French Guyana"	"shelf"	"P"	41.0205258260682	43.9359157368367	85.5262522680188	84.7939826174133	154.574945914501	190.192326759364
"12"	"French Guyana"	"shelf"	"Fe"	0.260852926821714	0.302961306214267	0.657574800450539	0.600891243193061	1.31112416250639	1.693914835802
"13"	"French Guyana"	"shelf"	"Cu"	0.066256987449529	0.0719344338204199	0.178538858470886	0.158551215477601	0.416569316198995	0.654529817983744
"14"	"French Guyana"	"shelf"	"Mn"	0.0105598126943783	0.0111858495635534	0.0271054959485784	0.025412346227844	0.0572037706216157	0.0695868537720279
"15"	"French Guyana"	"shelf"	"Se"	0.0115196383901837	0.0127494735383988	0.0258868222273441	0.0245329865900507	0.0445339575602329	0.0502877145773186
"16"	"French Guyana"	"shelf"	"Zn"	0.257100837192358	0.279415644541566	0.518178345378291	0.522717906127309	0.910256391400319	1.10719791395783
"17"	"French Guyana"	"shelf"	"Co"	0.000404345711621885	0.000439491606473182	0.000900833445229714	0.000844737992636343	0.00157273460762392	0.00221736185353505
"18"	"French Guyana"	"shelf"	"As"	0.0704137028227985	0.0910961024279475	0.241125673941425	0.201788881055173	0.591067694544507	0.823503145865526
