"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"Gulf of Alaska"	"oceanic"	"N"	-44.7678588120197	11.6464987752843	55.7895339611229	50.3930471093226	129.78140009553	287.431621370184
"2"	"Gulf of Alaska"	"oceanic"	"P"	-5.56520037191385	1.02051122844591	4.70464195118768	4.23299822631451	10.9672149816418	22.6865744429096
"3"	"Gulf of Alaska"	"oceanic"	"Fe"	-0.0426187994438257	0.00656127424764992	0.0429461515307127	0.0370385535923117	0.111884481958743	0.248847817979523
"4"	"Gulf of Alaska"	"oceanic"	"Cu"	-0.0246755326514861	0.00170654103966515	0.0127829059336608	0.0110766270117438	0.033530055417683	0.0920445334716641
"5"	"Gulf of Alaska"	"oceanic"	"Mn"	-0.000717745364869595	0.000228084259334605	0.00125729535438481	0.00110667689910138	0.00313382635272276	0.00714689365560954
"6"	"Gulf of Alaska"	"oceanic"	"Se"	-0.00135080190127297	0.000257131056780793	0.00176205246036042	0.00153466321205747	0.0045723984501524	0.00991611406847613
"7"	"Gulf of Alaska"	"oceanic"	"Zn"	-0.0217265662896376	0.00523162659383069	0.033678760772473	0.0293232559230837	0.0876360195109957	0.228249537536391
"8"	"Gulf of Alaska"	"oceanic"	"Co"	-4.37857656743536e-05	8.17474562868958e-06	5.40433513910086e-05	4.67466362601206e-05	0.000141002709892854	0.00036974230918967
"9"	"Gulf of Alaska"	"oceanic"	"As"	-0.0178498891093864	0.00166458738459103	0.0146174377400551	0.0125195884056365	0.0392760533384418	0.0916173315873057
"10"	"Gulf of Alaska"	"shelf"	"N"	-576.605583028047	90.2125122844185	494.285858261675	419.798684591363	1343.88569424235	3777.56018259394
"11"	"Gulf of Alaska"	"shelf"	"P"	-51.8066867791633	8.04688109720524	44.3975802338387	37.0037516276985	123.725892084928	327.111700277188
"12"	"Gulf of Alaska"	"shelf"	"Fe"	-0.285584720863414	0.0548555722698559	0.401028042479291	0.324272859326748	1.17922899166991	3.08195239928125
"13"	"Gulf of Alaska"	"shelf"	"Cu"	-0.059730826644936	0.00880968033602151	0.0922047408794696	0.0742251542489077	0.281408499246347	0.875124403798352
"14"	"Gulf of Alaska"	"shelf"	"Mn"	-0.0161730730594143	0.00162649026394094	0.0129454138780625	0.0102146184910938	0.0408514029031509	0.151354856946541
"15"	"Gulf of Alaska"	"shelf"	"Se"	-0.0186439592546429	0.00206576249282064	0.0159696599217491	0.0130282532692748	0.047341157971653	0.140379446045947
"16"	"Gulf of Alaska"	"shelf"	"Zn"	-0.441608456318454	0.0421866173601353	0.309691302626852	0.251408724724768	0.910042992584306	2.79953314236865
"17"	"Gulf of Alaska"	"shelf"	"Co"	-0.000509080262655544	6.13260565692088e-05	0.000482781142208299	0.000392976552240744	0.0014435453128611	0.00595817212728368
"18"	"Gulf of Alaska"	"shelf"	"As"	-0.131495197946702	0.0112536155323151	0.11370230638523	0.0917203078031227	0.344454262390298	0.862822212260554
