"Geo_area"	"Eco_area"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"West Indian ocean"	"oceanic"	"N"	11210.5471763016	14036.4259745207	28966.7709970511	28592.5133438126	46210.9500019605	51441.7727979713
"2"	"West Indian ocean"	"oceanic"	"P"	938.663437132492	1210.52303624598	2483.52033323745	2454.4421986119	4150.03288826584	4348.18895809817
"3"	"West Indian ocean"	"oceanic"	"Fe"	5.99887156305096	6.98778207037735	20.1671187476122	18.8710351914056	37.7305897335415	61.8602934230338
"4"	"West Indian ocean"	"oceanic"	"Cu"	3.19918116891611	3.80990971027588	9.1847351813993	7.40852790963692	19.2280764097846	21.6087816564454
"5"	"West Indian ocean"	"oceanic"	"Mn"	0.237963376149004	0.340007534353938	0.722237279621266	0.678411047703314	1.21053532380877	1.48283500405193
"6"	"West Indian ocean"	"oceanic"	"Se"	0.217538500922417	0.421952655387622	0.83674959154345	0.783854271507471	1.42527821657263	1.66760440044852
"7"	"West Indian ocean"	"oceanic"	"Zn"	7.98342076094606	9.87478367651395	18.1054671490752	17.7262581403773	28.2879583105935	39.162683273049
"8"	"West Indian ocean"	"oceanic"	"Co"	0.0082616028147165	0.0132478084352873	0.0292899429467059	0.0271354867681036	0.0658346724958683	0.0798616302734972
"9"	"West Indian ocean"	"oceanic"	"As"	1.92297828896113	3.31643136128911	6.55966383055602	5.91074917274743	11.3749962519674	15.2624343089256
"10"	"West Indian ocean"	"shelf"	"N"	213.547771429989	331.308303374279	1345.48712936062	1303.26724113907	2694.94783319487	3160.01886614073
"11"	"West Indian ocean"	"shelf"	"P"	20.6794526289415	30.9093774486893	135.633644825938	127.872815977709	296.503512711314	350.673212220025
"12"	"West Indian ocean"	"shelf"	"Fe"	0.150256277006785	0.219245144297102	0.927531589186069	0.850443132735227	1.98353798572039	2.98987388499158
"13"	"West Indian ocean"	"shelf"	"Cu"	0.0328897904579495	0.06916054281885	0.17637376528597	0.152494356732793	0.393485478664223	0.467193899020094
"14"	"West Indian ocean"	"shelf"	"Mn"	0.00628684800961786	0.0121470707961461	0.0418407339673206	0.0364043187798967	0.088333336709947	0.118568653728625
"15"	"West Indian ocean"	"shelf"	"Se"	0.00428191185148193	0.00731318180011288	0.036935757584365	0.0351319746142382	0.0707236789008832	0.0821996325244622
"16"	"West Indian ocean"	"shelf"	"Zn"	0.140991725030761	0.188785550145253	0.714770707061209	0.698878225542161	1.45645257651916	1.55141838324487
"17"	"West Indian ocean"	"shelf"	"Co"	0.000129806226187897	0.000264317495988925	0.00106616497426871	0.0010631660782662	0.00210577525254667	0.00265634161329854
"18"	"West Indian ocean"	"shelf"	"As"	0.0340986047124234	0.0649138200409283	0.303283619886666	0.254425252256627	0.773808002648428	1.03186950615748
