"Geo_area"	"Eco_gp"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"	"mean_total"	"ratio_contribution"
"1"	"French Polynesia"	"Deep divers"	"N"	832.691473767142	1377.37953256107	2428.31800536567	2347.17216703328	3948.86822151226	6845.18632812808	3765.15816978824	0.644944487286238
"2"	"French Polynesia"	"Deep divers"	"P"	76.5300962119257	118.589993133877	212.285574925024	205.053609229648	347.851536890181	617.309410055461	361.287275096309	0.587581101129108
"3"	"French Polynesia"	"Deep divers"	"Fe"	0.180610209978344	0.472387754648098	1.49173908045371	1.20881994744042	3.84169222467832	7.48425950233171	2.42930574566809	0.614059832984697
"4"	"French Polynesia"	"Deep divers"	"Cu"	0.248663325107228	0.550501480003472	1.21733884131883	1.13818362772781	2.32807712444145	4.82941936015028	1.39791555928458	0.870824302107227
"5"	"French Polynesia"	"Deep divers"	"Mn"	0.0107001729862465	0.0218424873481434	0.0442346690762714	0.0415961501171975	0.0819814389209486	0.194086906217173	0.0826120806683543	0.535450368982367
"6"	"French Polynesia"	"Deep divers"	"Se"	0.0201867060894494	0.0343244624542193	0.0665296409344009	0.0630449860433334	0.118790121332238	0.197585494944116	0.102451082138071	0.649379582391722
"7"	"French Polynesia"	"Deep divers"	"Zn"	0.558655343306176	0.889614158346205	1.59309379790788	1.53927511025145	2.56898928758581	4.15770752357191	2.28184962090523	0.698158977398297
"8"	"French Polynesia"	"Deep divers"	"Co"	0.000649437152508855	0.00118839212961786	0.00339940516810869	0.00304042492632404	0.00742598702333288	0.0136971916636012	0.00465279630058153	0.730615515595173
"9"	"French Polynesia"	"Deep divers"	"As"	0.153243284151176	0.253343327469942	0.573795566704902	0.540839511701559	1.08948059392896	1.75582158212284	0.854952279233864	0.67114338500751
"10"	"French Polynesia"	"Small delphinids"	"N"	493.34055523599	766.575483819732	1336.84016442257	1267.35827868801	2332.09675690832	4557.58786052791	3765.15816978824	0.355055512713762
"11"	"French Polynesia"	"Small delphinids"	"P"	51.0968112179066	81.050487578407	149.001700171285	140.30444936699	266.918647583665	604.481730303501	361.287275096309	0.412418898870892
"12"	"French Polynesia"	"Small delphinids"	"Fe"	0.239051938143766	0.442503015687619	0.937566665214375	0.862075063816235	1.87980774615118	5.59991166615746	2.42930574566809	0.385940167015303
"13"	"French Polynesia"	"Small delphinids"	"Cu"	0.0452723949837674	0.0876403826610093	0.18057671796575	0.170302102076573	0.334750177808193	0.619905926838946	1.39791555928458	0.129175697892772
"14"	"French Polynesia"	"Small delphinids"	"Mn"	0.00605330873618577	0.0149153444229323	0.0383774115920829	0.034615355387865	0.083441417856076	0.254355090189693	0.0826120806683543	0.464549631017633
"15"	"French Polynesia"	"Small delphinids"	"Se"	0.0109473880135551	0.017889126987746	0.0359214412036706	0.0334151393531708	0.0685168181532837	0.195522736393042	0.102451082138071	0.350620417608278
"16"	"French Polynesia"	"Small delphinids"	"Zn"	0.194971449749748	0.367352401482595	0.688755822997342	0.646969529537996	1.25215692814226	3.2077976317721	2.28184962090523	0.301841022601703
"17"	"French Polynesia"	"Small delphinids"	"Co"	0.000366084891272158	0.000602137197274702	0.00125339113247284	0.00117703437020806	0.00237733870613807	0.00499895858315749	0.00465279630058153	0.269384484404827
"18"	"French Polynesia"	"Small delphinids"	"As"	0.0622572708191729	0.113065737865959	0.281156712528963	0.246467434470871	0.64021721296692	1.46998797115302	0.854952279233864	0.32885661499249
