"Eco_gp"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"Baleen whales"	"N"	3587.53632398968	13077.49663578	20680.9126386989	20718.3121451851	27641.999560779	38611.2780247094
"2"	"Baleen whales"	"P"	525.822995673018	1277.6502952782	2301.0172191733	2257.13225889851	3577.10447784707	4678.23506532779
"3"	"Baleen whales"	"Fe"	-8.1726273098652	4.5047224030606	15.4239478370254	15.1158197883707	28.5135270528439	37.4685597444157
"4"	"Baleen whales"	"Cu"	-2.32469585742198	0.497148237503024	2.83169315575721	2.54100932217512	6.9752319241106	11.1918213019877
"5"	"Baleen whales"	"Mn"	-0.206244078080382	0.115410567087793	0.537918819717531	0.429466004492402	1.68464693128777	2.22641929310001
"6"	"Baleen whales"	"Se"	-0.284367176760113	0.184958034381162	0.604188002878176	0.564601636892889	1.31574910475893	2.50782683414753
"7"	"Baleen whales"	"Zn"	-8.09155670895134	3.53885046208519	11.8317660256487	11.4310658136182	22.184422769967	34.6357439872849
"8"	"Baleen whales"	"Co"	-0.00750567348375279	0.00531313319055226	0.0179783542629363	0.0171965752268106	0.0369578314650358	0.0609227512779073
"9"	"Baleen whales"	"As"	-2.47980945459445	0.902945627192673	3.73163575170683	3.28249553149	8.24864640140518	13.9469940218903
"10"	"Deep divers"	"N"	15355.9300379037	17600.1897486845	21294.9916351619	21224.5165301376	25278.3867517721	28376.1621507601
"11"	"Deep divers"	"P"	1351.37560701095	1515.98767583527	1974.67051791049	1906.71396739289	3083.36332396039	4287.90101057818
"12"	"Deep divers"	"Fe"	1.82821246344928	3.77123710730143	13.7259251948325	11.1709467982658	36.3538572223309	55.8004189363768
"13"	"Deep divers"	"Cu"	1.15996744388534	2.58529339384502	9.47778322726773	8.75034492205458	18.4891907250694	25.5200148528793
"14"	"Deep divers"	"Mn"	0.160110258024783	0.209356364286213	0.436773841301565	0.381275808122448	1.01056692018719	2.06657495426383
"15"	"Deep divers"	"Se"	0.273581854106057	0.360067946294587	0.571121775537989	0.546204167954067	0.909779251774802	1.21661832556901
"16"	"Deep divers"	"Zn"	6.60025347849803	9.36716783301528	13.3496893778287	13.1578632504117	18.3863428437388	24.9015182495635
"17"	"Deep divers"	"Co"	0.00323919532787864	0.00565980090552725	0.0261079650797582	0.0189089469749619	0.0809571443413354	0.167746354941457
"18"	"Deep divers"	"As"	1.39107430359509	2.27903247737847	4.97714541687757	4.38366681659679	11.691755312836	36.6688351232851
"19"	"Small delphinids"	"N"	13679.9341631069	17554.118240784	21476.5562047968	21398.0004378053	25863.2998349824	31184.7842971861
"20"	"Small delphinids"	"P"	1221.68403758576	1721.44387813154	2496.35147862079	2428.44073510959	3631.72061654888	6357.97858776236
"21"	"Small delphinids"	"Fe"	2.89455791697352	6.85808518332447	15.7062219280912	14.5891367758304	30.3742001530804	47.5093361819855
"22"	"Small delphinids"	"Cu"	0.272049335418243	0.592913704478524	3.46619850875853	2.41416015257698	10.6007150505072	19.1384624125209
"23"	"Small delphinids"	"Mn"	0.0906641405190291	0.231534562552973	0.648841436777389	0.577561369739035	1.4540424433547	2.86265624979545
"24"	"Small delphinids"	"Se"	0.185477720276403	0.328905154985721	0.575693827034666	0.542118697323551	1.04006294337136	2.4229266257493
"25"	"Small delphinids"	"Zn"	4.72741839332037	6.9321687501955	11.7436621417348	11.3674674810105	18.8987526062542	34.1233559100435
"26"	"Small delphinids"	"Co"	0.00378403209342096	0.00742760294741794	0.0203579992783653	0.0173735997391616	0.0526937707653497	0.108676940977598
"27"	"Small delphinids"	"As"	0.463213606328979	1.55331824502859	4.469962877269	3.64361868781286	12.7223891848886	37.5292327518127
