"Eco_gp"	"Element"	"min"	"2.5_quant"	"mean"	"median"	"97.5_quant"	"max"
"1"	"Baleen whales"	"N"	12763.7199465275	14213.7837887217	20017.4685326972	20063.3460900508	25307.6130427744	30123.1632941763
"2"	"Baleen whales"	"P"	1171.90999877623	1451.06047639197	1980.11824441148	1903.94324319738	2953.87589257876	3899.01527216071
"3"	"Baleen whales"	"Fe"	2.72440760114902	4.37263362275595	25.4235145867261	18.4418932957919	96.2308357343166	158.830251738656
"4"	"Baleen whales"	"Cu"	0.711261982224332	1.11462225170215	9.69016073441256	8.7781182963602	23.1963630048027	25.1498738400932
"5"	"Baleen whales"	"Mn"	0.132498281067529	0.229505831108462	0.929910120716554	0.709708020730149	2.26110108204991	6.43206863764928
"6"	"Baleen whales"	"Se"	0.213133051373478	0.272603919279489	0.618201057301688	0.508813136301291	1.61727400798776	2.49674228940594
"7"	"Baleen whales"	"Zn"	6.11321701332138	8.03077711354071	12.9117709489383	11.4286847645371	26.1017032813431	34.3666693098658
"8"	"Baleen whales"	"Co"	0.00692965528614061	0.00896471272052229	0.0374848706427044	0.0272789125908188	0.111747053983552	0.129827239096986
"9"	"Baleen whales"	"As"	0.614663812907847	1.13153648645337	5.77250165842229	3.83765592421899	16.5223930058787	17.4139901664148
"10"	"Deep divers"	"N"	15094.5109869979	17542.215099178	21626.6970208035	21505.8728722963	25846.0765150441	28751.2675998496
"11"	"Deep divers"	"P"	1001.10046295557	1177.39529847682	1690.0551017008	1627.6657353697	2744.92286706854	3689.79026545764
"12"	"Deep divers"	"Fe"	2.11077062397572	4.08198795387108	16.1937025657862	12.4120736029615	46.1504009563411	54.6174380815244
"13"	"Deep divers"	"Cu"	1.47095079827961	2.78000755579664	10.1686569883491	8.3681095746877	21.4685452760265	26.8085319560345
"14"	"Deep divers"	"Mn"	0.203033935630245	0.246182545706073	0.468348672262583	0.404576586647405	1.05713403037075	2.00455207514002
"15"	"Deep divers"	"Se"	0.364188864801859	0.406736571582428	0.633569911429069	0.610140801751332	1.01316737957309	1.18928820124526
"16"	"Deep divers"	"Zn"	8.44662476892488	10.2233332636155	14.9159001999942	14.7463425254146	21.141467771835	26.0484332941349
"17"	"Deep divers"	"Co"	0.0043488820363966	0.00667291205093423	0.0295589769441608	0.021247427545017	0.0988129575473264	0.157721313398178
"18"	"Deep divers"	"As"	1.84147770578088	2.44723675126238	5.52614421738597	4.66464837043097	16.6324795665445	33.1597571200372
"19"	"Small delphinids"	"N"	14954.2201812918	17426.4404862037	21649.3965130555	21604.13202972	26104.3438974448	28834.0508556055
"20"	"Small delphinids"	"P"	914.085235407658	1351.78198789721	2089.53380314923	2021.87090815591	3198.79355384297	5349.07326771222
"21"	"Small delphinids"	"Fe"	3.70382472067482	7.92411252430114	17.5859412123004	15.8978206872078	35.2480656953855	46.7483920307586
"22"	"Small delphinids"	"Cu"	0.376561707833565	0.743791431860289	4.15074771173185	2.97242773037208	13.4969039569945	20.2495882410789
"23"	"Small delphinids"	"Mn"	0.130988086962294	0.256207448082182	0.700868844091184	0.619358271710167	1.57671279514668	2.6105692437793
"24"	"Small delphinids"	"Se"	0.226140600430625	0.357086057486205	0.669027039210028	0.613970823884366	1.33714301114332	2.53026389473765
"25"	"Small delphinids"	"Zn"	5.6572056049407	8.10433630377073	13.2595310631433	12.7079794042972	22.2527562257865	34.6453866715131
"26"	"Small delphinids"	"Co"	0.00473632385670176	0.00810739118992368	0.0220224039892793	0.0185764125481829	0.0579522842799369	0.101250049109711
"27"	"Small delphinids"	"As"	0.70744362051763	1.7527256261588	4.87907952518901	3.87086236528175	15.0395454961989	34.6929429658223
