"Geo_area"	"Eco_gp"	"Element"	"mean"	"mean_total"	"ratio_contribution"
"1"	"New Caledonia"	"Deep divers"	"N"	5306.84571224311	6504.08388585649	0.815925164154656
"2"	"New Caledonia"	"Deep divers"	"P"	390.35739593673	504.220653674105	0.774179703057208
"3"	"New Caledonia"	"Deep divers"	"Fe"	3.74833758700178	4.6928385492135	0.798735679417309
"4"	"New Caledonia"	"Deep divers"	"Cu"	2.39846904178867	2.60417128819656	0.921010477559504
"5"	"New Caledonia"	"Deep divers"	"Mn"	0.10488759382753	0.142159066028761	0.737818534952317
"6"	"New Caledonia"	"Deep divers"	"Se"	0.157604046178922	0.19440505265683	0.810699331241813
"7"	"New Caledonia"	"Deep divers"	"Zn"	3.59786065957542	4.31843874873931	0.833139212782802
"8"	"New Caledonia"	"Deep divers"	"Co"	0.00680306187117638	0.00782807195819405	0.869059700461142
"9"	"New Caledonia"	"Deep divers"	"As"	1.34225009664885	1.58379603697	0.847489238081909
"10"	"New Caledonia"	"Small delphinids"	"N"	1197.23817361338	6504.08388585649	0.184074835845344
"11"	"New Caledonia"	"Small delphinids"	"P"	113.863257737375	504.220653674105	0.225820296942792
"12"	"New Caledonia"	"Small delphinids"	"Fe"	0.944500962211717	4.6928385492135	0.201264320582691
"13"	"New Caledonia"	"Small delphinids"	"Cu"	0.205702246407897	2.60417128819656	0.0789895224404957
"14"	"New Caledonia"	"Small delphinids"	"Mn"	0.037271472201231	0.142159066028761	0.262181465047683
"15"	"New Caledonia"	"Small delphinids"	"Se"	0.0368010064779084	0.19440505265683	0.189300668758187
"16"	"New Caledonia"	"Small delphinids"	"Zn"	0.720578089163892	4.31843874873931	0.166860787217198
"17"	"New Caledonia"	"Small delphinids"	"Co"	0.00102501008701767	0.00782807195819405	0.130940299538858
"18"	"New Caledonia"	"Small delphinids"	"As"	0.241545940321149	1.58379603697	0.152510761918091
