species,block,n
gmel,AA,1
gmel,AC,5
gmel,B,7
gmel,H,0
gmel,J,1
gmel,K,6
gmel,U,0
gmel,V,0
hamp,AA,0
hamp,AC,0
hamp,B,0
hamp,H,1
hamp,J,1
hamp,K,0
hamp,U,0
hamp,V,0
mbid,AA,0
mbid,AC,0
mbid,B,0
mbid,H,0
mbid,J,0
mbid,K,0
mbid,U,1
mbid,V,0
zcav,AA,0
zcav,AC,4
zcav,B,2
zcav,H,0
zcav,J,0
zcav,K,2
zcav,U,0
zcav,V,0
zisp,AA,0
zisp,AC,2
zisp,B,0
zisp,H,0
zisp,J,1
zisp,K,1
zisp,U,0
zisp,V,1
